"Cube Title","Product Id","CANSIM Id",URL,"Cube Notes","Archive Status",Frequency,"Start Reference Period","End Reference Period","Total number of dimensions",Universe,"Variable List"
"Population and dwelling counts: Census metropolitan areas, census agglomerations and census subdivisions (municipalities)","98100003",,"https://www150.statcan.gc.ca/t1/tbl1/en/tv.action?pid=9810000301",1,"CURRENT - a cube available to the public and that is current","Occasional","2021-01-01","2021-01-01","2","All persons, 2021 and 2016 censuses – 100% data","Population and dwelling counts (13)"

"Dimension ID","Dimension name","Dimension Notes","Dimension Correction Notes","Dimension Definitions"
"1","Geographic name",,,""
"2","Population and dwelling counts (13)",,,""

"Dimension ID","Member Name","Classification Code","Member ID","Parent Member ID",Terminated,"Member Notes","Member Correction Notes","Member Geo Attribute Keys","Member Definitions"
"1","Abbotsford - Mission","[932]","1","","",,,3;4;5;9;10;15;12;16,
"1","Abbotsford","[5909052]","2","1","",,,3;4;5;9;10;15;12;16,
"1","Langley 2","[5909856]","3","1","",7,,3;4;5;9;10;15;12;16,
"1","Matsqui Main 2","[5909878]","4","1","",,,3;4;5;9;10;15;12;16,
"1","Mission","[5909056]","5","1","",7,,3;4;5;9;10;15;12;16,
"1","Upper Sumas 6","[5909877]","6","1","",,,3;4;5;9;10;15;12;16,
"1","Alma","[410]","7","","",,,3;4;5;9;10;15;12;16,
"1","Alma","[2493042]","8","7","",7,,3;4;5;9;10;15;12;16,
"1","Amos","[481]","9","","",,,3;4;5;9;10;15;12;16,
"1","Amos","[2488055]","10","9","",,,3;4;5;9;10;15;12;16,
"1","Berry","[2488070]","11","9","",,,3;4;5;9;10;15;12;16,
"1","Pikogan","[2488802]","12","9","",,,3;4;5;9;10;15;12;16,
"1","Saint-Dominique-du-Rosaire","[2488065]","13","9","",,,3;4;5;9;10;15;12;16,
"1","Saint-Félix-de-Dalquier","[2488060]","14","9","",,,3;4;5;9;10;15;12;16,
"1","Saint-Marc-de-Figuery","[2488040]","15","9","",,,3;4;5;9;10;15;12;16,
"1","Saint-Mathieu-d'Harricana","[2488050]","16","9","",,,3;4;5;9;10;15;12;16,
"1","Sainte-Gertrude-Manneville","[2488085]","17","9","",,,3;4;5;9;10;15;12;16,
"1","Trécesson","[2488075]","18","9","",,,3;4;5;9;10;15;12;16,
"1","Baie-Comeau","[406]","19","","",,,3;4;5;9;10;15;12;16,
"1","Baie-Comeau","[2496020]","20","19","",,,3;4;5;9;10;15;12;16,
"1","Chute-aux-Outardes","[2496035]","21","19","",,,3;4;5;9;10;15;12;16,
"1","Pointe-Lebel","[2496025]","22","19","",,,3;4;5;9;10;15;12;16,
